Key,Type,Desc,English,French,Italian,German,Spanish,Japanese,Korean,Polish,Russian,Chinese-Simplified [zh-CN],Portuguese-Brazil [pt-BR],Chinese-Traditional [zh-TW],Pirate English [en-PI],Serbian,Swedish,Romanian,$Context,$Status
Menu/Settings/Joints/MultiJointName,Text,,Multi-Joint System,Système d'articulations multiples,Sistema multi-giunzione,Multi-Verbindungssystem,Sistema de juntas múltiples,マルチジョイントシステム,다중 연결부 시스템,System wielozłączowy,Система мульти-соединений,多关节系统,Sistema multijuntas,多接頭系統,Multi-Joint System,Multi-Joint System,Multi-Joint System,Multi-Joint System,,Localized
Menu/Settings/Max Persistant Debris,Text,,Max Persistent Debris,Débris persistants maximums,Numero massimo detriti persistenti,Max. Trümmerbeständigkeit,Máx. residuos persistentes,最大デブリ数,최대 잔해의 양,Maks. liczba trwałych szczątków,Макс. количество космического мусора,最大残骸保留数量,Máximo de destroços persistentes,持續存在的碎片最大數量,Max Persistent Debris,Max Persistent Debris,Max Persistent Debris,Max Persistent Debris,,Localized
Menu/Settings/MissionRewards,Text,,Mission Rewards,Récompenses de mission,Ricompense missioni,Missionsbelohnungen,Recompensas de misión,ミッション報酬,임무 보상,Nagrody za misje,Награды за миссию,任务奖励,Recompensas de missão,任務獎勵,Mission Rewards,Mission Rewards,Mission Rewards,Mission Rewards,,Localized
Menu/Settings/ResetUserInterface,Text,,Reset User Interface,Réinitialiser les réglages d'interface utilisateur,Ripristina interfaccia utente,Benutzer-Interface zurücksetzen,Restablecer interfaz de usuario,ユーザーインターフェースをリセットする,사용자 인터페이스 초기화,Zresetuj interfejs,Сброс пользовательского интерфейса,重置用户界面,Redefinir interface do usuário,已經發射,Reset User Interface,Reset User Interface,Reset User Interface,Reset User Interface,,Localized
Menu/Settings/Descriptions/ScienceRewards,Text,,Adjusts the amount of science points rewarded by experiments.,Ajuste le nombre de points de science attribués par expérience.,Regola la quantità di punti Scienza ottenuti dagli esperimenti.,Adjusts the amount of science points rewarded by experiments.,Ajusta la cantidad de puntos de ciencia que se obtienen con los experimentos.,Adjusts the amount of science points rewarded by experiments.,실험을 통해 얻는 과학 점수를 조정합니다.,Dostosowuje liczbę punktów nauki zdobywanych dzięki eksperymentom.,"Изменяет количество очков науки, начисляемых за эксперименты.",调整科学实验奖励的科技点数。,Adjusts the amount of science points rewarded by experiments.,Adjusts the amount of science points rewarded by experiments.,Adjusts the amount of science points rewarded by experiments.,Adjusts the amount of science points rewarded by experiments.,Adjusts the amount of science points rewarded by experiments.,Adjusts the amount of science points rewarded by experiments.,,Localized
Menu/Settings/Notifications,Text,,Notifications,Notifications,Notifiche,Notifications,Notificaciones,Notifications,알림,Powiadomienia,Уведомления,通知,Notifications,Notifications,Notifications,Notifications,Notifications,Notifications,,Localized
Menu/Settings/ResetNotifications,Text,,Reset Notifications,Réinitialiser les notifications,Ripristina notifiche,Reset Notifications,Resetear notificaciones,Reset Notifications,알림 초기화,Zresetuj powiadomienia,Сбросить уведомления,清除通知,Reset Notifications,Reset Notifications,Reset Notifications,Reset Notifications,Reset Notifications,Reset Notifications,,Localized
Menu/Settings/Notifications/Alert,Text,,Alerts,Alertes,Avvisi,Alerts,Alertas,Alerts,경고,Alarmy,Оповещения,警报,Alerts,Alerts,Alerts,Alerts,Alerts,Alerts,,Localized
Menu/Settings/Notifications/Passive,Text,,Passive Notifications,Notifications passives,Notifiche informative,Passive Notifications,Notificaciones pasivas,Passive Notifications,무음 알림,Ciche powiadomienia,Пассивные уведомления,被动通知,Passive Notifications,Passive Notifications,Passive Notifications,Passive Notifications,Passive Notifications,Passive Notifications,,Localized
Menu/Settings/Notification/Mute,Text,,Mute,Rendre muet,Disattiva audio,Mute,Silenciar,Mute,음소거,Wycisz,Заглушить,关闭,Mute,Mute,Mute,Mute,Mute,Mute,,Localized
Menu/Settings/Notification/Show,Text,,Show,Montrer,Visualizza,Show,Mostrar,Show,보기,Pokaż,Показывать,展示,Show,Show,Show,Show,Show,Show,,Localized
Menu/Settings/Notification/StopWarp,Text,,Stop Warp,Faire pause,Interrompi accelerazione,Stop Warp,Parar avance del tiempo,Stop Warp,워프 중지,Zatrzymaj przyspieszenie czasu,Остановить искажение времени,无时间加速时,Stop Warp,Stop Warp,Stop Warp,Stop Warp,Stop Warp,Stop Warp,,Localized
Menu/Settings/Notifications/Alert/VesselRecoverable,Text,,Vessel Recoverable,Vaisseau récupérable,Veicolo Recuperabile,Vessel Recoverable,Cápsula recuperable,Vessel Recoverable,기체 회수 가능,Możliwość odzyskania statku,Аппарат подлежит восстановлению,航天器可回收,Vessel Recoverable,Vessel Recoverable,Vessel Recoverable,Vessel Recoverable,Vessel Recoverable,Vessel Recoverable,,Localized
Menu/Settings/Notifications/Alert/VesselRecoverable/Desc,Text,,Appears when an inactive vessel becomes eligible for recovery.,Apparaît lorsqu'un vaisseau inactif est éligible à la récupération.,Viene mostrata quando un veicolo inattivo diventa idoneo al recupero.,Appears when an inactive vessel becomes eligible for recovery.,Aparece cuando un buque inactivo cumple los requisitos para su recuperación.,Appears when an inactive vessel becomes eligible for recovery.,비활성화 기체 회수가 가능해지면 표시되는 알림입니다.,"Pojawia się, gdy nieaktywny statek kwalifikuje się do odzyskania.","Появляется, когда неактивный аппарат становится пригодным для эвакуации.",当航天器处于静止状态且满足回收条件时，会显示此提示。,Appears when an inactive vessel becomes eligible for recovery.,Appears when an inactive vessel becomes eligible for recovery.,Appears when an inactive vessel becomes eligible for recovery.,Appears when an inactive vessel becomes eligible for recovery.,Appears when an inactive vessel becomes eligible for recovery.,Appears when an inactive vessel becomes eligible for recovery.,,Localized
Menu/Settings/Notifications/Alert/VesselLostControl,Text,,Control Lost,Contrôle perdu,Controllo perso,Control Lost,Control perdido,Control Lost,제어 상실,Utrata kontroli,Контроль утрачен,失去控制,Control Lost,Control Lost,Control Lost,Control Lost,Control Lost,Control Lost,,Localized
Menu/Settings/Notifications/Alert/VesselLostControl/Desc,Text,,Appears when the active vessel loses control authority.,Apparaît lorsque le vaisseau actif perd l'autorité de contrôle.,Viene mostrato alla perdita dell'autorità di controllo del veicolo attivo.,Appears when the active vessel loses control authority.,Aparece cuando la embarcación activa pierde el control.,Appears when the active vessel loses control authority.,활성화 기체의 제어를 상실하면 표시되는 알림입니다.,Pojawia się w przypadku utraty kontroli nad aktywnym statkiem.,"Появляется, когда действующий аппарат теряет контроль.",当正在控制的航天器失去控制权时，会显示此提示。,Appears when the active vessel loses control authority.,Appears when the active vessel loses control authority.,Appears when the active vessel loses control authority.,Appears when the active vessel loses control authority.,Appears when the active vessel loses control authority.,Appears when the active vessel loses control authority.,,Localized
Menu/Settings/Notifications/Alert/VesselOutOfElectricity,Text,,Out of Electricity,Plus d'électricité,Carica elettrica esaurita,Out of Electricity,Sin electricidad,Out of Electricity,전력 없음,Brak energii elektrycznej,Закончилось электричество,电量耗尽,Out of Electricity,Out of Electricity,Out of Electricity,Out of Electricity,Out of Electricity,Out of Electricity,,Localized
Menu/Settings/Notifications/Alert/VesselOutOfElectricity/Desc,Text,,Appears when the active vessel runs out of stored electric charge.,Apparaît lorsque le vaisseau actif est à cours de charge électrique.,Viene mostrata quando il veicolo attivo esaurisce la carica elettrica disponibile.,Appears when the active vessel runs out of stored electric charge.,Aparece cuando la nave activa se queda sin carga eléctrica almacenada.,Appears when the active vessel runs out of stored electric charge.,활성화 기체의 전력이 소진되면 표시되는 알림입니다.,"Pojawia się, gdy na aktywnym statku wyczerpią się zapasy energii elektrycznej.","Появляется, когда в активном аппарате заканчивается накопленный электрический заряд.",当正在控制的航天器耗尽储存的电量时，会显示此提示。,Appears when the active vessel runs out of stored electric charge.,Appears when the active vessel runs out of stored electric charge.,Appears when the active vessel runs out of stored electric charge.,Appears when the active vessel runs out of stored electric charge.,Appears when the active vessel runs out of stored electric charge.,Appears when the active vessel runs out of stored electric charge.,,Localized
Menu/Settings/Notifications/Alert/VesselLeftCommNetRange,Text,,Connection Lost,Connexion perdue,Connessione persa,Connection Lost,Conexión perdida,Connection Lost,통신 불가,Połączenie zostało utracone,Соединение потеряно,信号丢失,Connection Lost,Connection Lost,Connection Lost,Connection Lost,Connection Lost,Connection Lost,,Localized
Menu/Settings/Notifications/Alert/VesselLeftCommNetRange/Desc,Text,,Appears when the active vessel leaves communications-network range.,Apparaît lorsque le vaisseau actif est hors de portée du réseau de communication.,Viene mostrata quando il veicolo attivo esce dalla portata delle comunicazioni.,Appears when the active vessel leaves communications-network range.,Aparece cuando la nave activa sale del alcance de la red de comunicaciones.,Appears when the active vessel leaves communications-network range.,활성화 기체가 통신 네트워크의 거리를 벗어나면 표시됩니다.,"Pojawia się, gdy aktywny statek znajdzie się poza zasięgiem sieci komunikacyjnej.","Появляется, когда активный аппарат выходит из зоны действия сети связи.",当控制的航天器超出通信网络范围时，会显示此提示。,Appears when the active vessel leaves communications-network range.,Appears when the active vessel leaves communications-network range.,Appears when the active vessel leaves communications-network range.,Appears when the active vessel leaves communications-network range.,Appears when the active vessel leaves communications-network range.,Appears when the active vessel leaves communications-network range.,,Localized
Menu/Settings/Notifications/Alert/InactiveVesselOnCrashTrajectory,Text,,Crash Trajectory,Trajectoire de collision,Traiettoria di impatto,Crash Trajectory,Trayectoria de choque,Crash Trajectory,충돌 경로,Trajektoria zderzenia,Траектория столкновения,撞击轨道,Crash Trajectory,Crash Trajectory,Crash Trajectory,Crash Trajectory,Crash Trajectory,Crash Trajectory,,Localized
Menu/Settings/Notifications/Alert/InactiveVesselOnCrashTrajectory/Desc,Text,,Appears when an inactive vessel is on a trajectory that will impact a body.,Apparaît lorsqu'un vaisseau inactif est sur une trajectoire d'impact.,Viene mostrata quando un veicolo inattivo si trova su una traiettoria di impatto.,Appears when an inactive vessel is on a trajectory that will impact a body.,Aparece cuando una nave inactiva se encuentra en una trayectoria que la llevará a chocar contra un cuerpo.,Appears when an inactive vessel is on a trajectory that will impact a body.,비활성화 기체가 천체와 충돌 경로에 있을 때 표시됩니다.,"Pojawia się, gdy nieaktywny statek znajduje się na trajektorii kolizyjnej z ciałem niebieskim.","Возникает, когда неактивный аппарат движется по траектории, которая может привести к столкновению с каким-либо объектом.",当非活跃航天器的轨道将撞击某天体时，会显示此提示。,Appears when an inactive vessel is on a trajectory that will impact a body.,Appears when an inactive vessel is on a trajectory that will impact a body.,Appears when an inactive vessel is on a trajectory that will impact a body.,Appears when an inactive vessel is on a trajectory that will impact a body.,Appears when an inactive vessel is on a trajectory that will impact a body.,Appears when an inactive vessel is on a trajectory that will impact a body.,,Localized
Menu/Settings/Notifications/Alert/InactiveVesselNearManeuver,Text,,Maneuver Approaching,Manœuvre en approche,Avvicinamento al punto di manovra,Maneuver Approaching,Maniobra de aproximación,Maneuver Approaching,메뉴버 접근,Zbliżający się manewr,Приближение к Маневру,接近机动节点,Maneuver Approaching,Maneuver Approaching,Maneuver Approaching,Maneuver Approaching,Maneuver Approaching,Maneuver Approaching,,Localized
Menu/Settings/Notifications/Alert/InactiveVesselNearManeuver/Desc,Text,,Appears when an inactive vessel is nearing a planned maneuver.,Apparaît lorsqu'un vaisseau inactif approche un nœud de manœuvre.,Viene mostrata quando un veicolo inattivo si avvicina a un punto di manovra pianificato.,Appears when an inactive vessel is nearing a planned maneuver.,Aparece cuando una nave inactiva se está acercando a una maniobra prevista.,Appears when an inactive vessel is nearing a planned maneuver.,비활성화 기체가 메뉴버 노드에 근접했을 때 나타납니다.,"Pojawia się, gdy nieaktywny statek zbliża się do zaplanowanego manewru.","Появляется, когда неактивный аппарат приближается к запланированному маневру.",当非活跃航天器接近机动节点时，会显示此提示。,Appears when an inactive vessel is nearing a planned maneuver.,Appears when an inactive vessel is nearing a planned maneuver.,Appears when an inactive vessel is nearing a planned maneuver.,Appears when an inactive vessel is nearing a planned maneuver.,Appears when an inactive vessel is nearing a planned maneuver.,Appears when an inactive vessel is nearing a planned maneuver.,,Localized
Menu/Settings/Notifications/Alert/AblatorDepleted,Text,,Ablator Depleted,Ablateur épuisé,Ablatore esaurito,Ablator Depleted,Ablator Depleted,Ablator Depleted,융제재 소진,Ablator wyczerpany,Аблятор истощен,烧蚀剂耗尽,Ablator Depleted,Ablator Depleted,Ablator Depleted,Ablator Depleted,Ablator Depleted,Ablator Depleted,,Localized
Menu/Settings/Notifications/Alert/AblatorDepleted/Desc,Text,,Appears when a heat shield's ablator is fully consumed.,Apparaît lorsque l'ablateur d'un bouclier thermique a été entièrement consommé.,Viene mostrata quando l'ablatore di uno scudo termico è completamente esaurito.,Appears when a heat shield's ablator is fully consumed.,Appears when a heat shield's ablator is fully consumed.,Appears when a heat shield's ablator is fully consumed.,열 차폐막의 융제재가 모두 소진되면 나타납니다.,"Pojawia się, gdy ablator osłony termicznej zostanie całkowicie zużyty.","Появляется, когда абляционный слой теплозащитного экрана полностью израсходован.",当隔热罩的烧蚀材料完全耗尽时，会显示此提示。,Appears when a heat shield's ablator is fully consumed.,Appears when a heat shield's ablator is fully consumed.,Appears when a heat shield's ablator is fully consumed.,Appears when a heat shield's ablator is fully consumed.,Appears when a heat shield's ablator is fully consumed.,Appears when a heat shield's ablator is fully consumed.,,Localized
Menu/Settings/Notifications/Alert/SolarPanelsIneffective,Text,,Solar Panels Ineffective,Panneau solaire inefficace,Pannelli solari inefficienti,Solar Panels Ineffective,Paneles solares inefectivos,Solar Panels Ineffective,태양전지 패널 효율 감소,Niska wydajność paneli słonecznych,Солнечные панели неэффективны,光伏失效,Solar Panels Ineffective,Solar Panels Ineffective,Solar Panels Ineffective,Solar Panels Ineffective,Solar Panels Ineffective,Solar Panels Ineffective,,Localized
Menu/Settings/Notifications/Alert/SolarPanelsIneffective/Desc,Text,,Appears when solar panels are not generating meaningful power.,Apparaît lorsque les panneaux solaires ne produisent pas significativement d'électricité.,Viene mostrata quando i pannelli solari non generano energia sufficiente.,Appears when solar panels are not generating meaningful power.,Aparece cuando los paneles solares no están generando suficiente energía,Appears when solar panels are not generating meaningful power.,태양전지 패널의 전력 생산량이 유의미한 수준에 미치지 못할 때 표시됩니다.,"Pojawia się, gdy panele słoneczne nie generują znaczącej ilości energii.","Появляется, когда солнечные панели не вырабатывают достаточного количества энергии.",当太阳能板无法产生有效电量时，会显示此提示。,Appears when solar panels are not generating meaningful power.,Appears when solar panels are not generating meaningful power.,Appears when solar panels are not generating meaningful power.,Appears when solar panels are not generating meaningful power.,Appears when solar panels are not generating meaningful power.,Appears when solar panels are not generating meaningful power.,,Localized
Menu/Settings/Notifications/Alert/InactiveVesselEnteredSOI,Text,,Sphere of Influence Change,Changement de sphère d'influence,Cambio di Sfera d'Influenza,Sphere of Influence Change,Cambio en la esfera de influencia,Sphere of Influence Change,영향권 변경,Zmiana strefy wpływu grawitacyjnego,Сфера притяжения меняется,引力范围变化,Sphere of Influence Change,Sphere of Influence Change,Sphere of Influence Change,Sphere of Influence Change,Sphere of Influence Change,Sphere of Influence Change,,Localized
